seq,timestamp_ms,red,ir,red_corrected,ir_corrected,time_sec,red_roll_mean,red_roll_std,ir_roll_mean,ir_roll_std,red_diff,ir_diff,red_diff2,ir_diff2,signal_energy
1,135093,40603,100950,-10.78806342832994,-4.396234730692758,0.0,,,,,,,,,135.70919234101916
2,135113,40616,100938,2.142788596852313,-15.10566862684167,0.02,,,,,12.930852025182253,-10.709433896148912,,,232.77276763474902
3,135133,40603,100945,-12.051503149987948,-7.542110206633485,0.04,,,,,-14.19429174684026,7.563558420208185,-27.12514377202251,18.272992316357097,202.12215454317442
4,135153,40612,100939,-0.7691659035321763,-14.245303360060204,0.06,,,,,11.282337246455771,-6.703193153426719,25.476628993296032,-14.266751573634904,203.52028400729898
5,135173,40621,100933,8.087457181992205,-20.55219023030498,0.08,,,,,8.856623085524381,-6.306886870244776,-2.42571416093139,0.39630628318194283,487.7994869332008
6,135193,40606,100932,-7.905470850113863,-20.737921795986853,0.1,,,,,-15.992928032106068,-0.18573156568187343,-24.849551117630448,6.121155304562903,492.5578697784666
7,135213,40597,100920,-16.592344508449596,-32.69311072634576,0.12,,,,,-8.686873658335733,-11.955188930358904,7.306054373770335,-11.76945736467703,1344.1453852521815
8,135233,40599,100916,-16.334325071064363,-37.22748557144673,0.14,,,,,0.2580194373852329,-4.53437484510097,8.944893095720966,7.420814085257934,1652.6958574994762
9,135253,40588,100905,-25.38853841628248,-47.1797950473888,0.16,,,,,-9.054213345218116,-9.952309475942073,-9.312232782603349,-5.417934630841103,2870.5109436286643
10,135276,40596,100902,-17.972481304628026,-49.652008655223504,0.183,,,,,7.416057111654453,-2.4722136078347035,16.47027045687257,7.4800958681073695,2788.3320477435936
11,135296,40577,100860,-36.07693190770778,-91.47686886617504,0.203,,,,,-18.104450603079755,-41.824860210951535,-25.520507714734208,-39.35264660311683,9669.562553432768
12,135316,40574,100846,-38.617089018479085,-105.54742244541316,0.223,,,,,-2.540157110771304,-14.070553579238123,15.564293492308451,27.754306631713412,12631.537949131643
13,135339,40575,100839,-37.74546329091838,-111.47599273908492,0.246,,,,,0.8716257275607049,-5.928570293671754,3.411782838332009,8.141983285566369,13851.616956210579
14,135349,40576,100847,-36.88873952489934,-102.58198732548696,0.256,,,,,0.8567237660190372,8.894005413597952,-0.014901961541667674,14.822575707269706,11883.84322738224
